topic,question,option_a,option_b,option_c,option_d,correct_answer
Polity,"In essence, what does Due Process of Law' mean?",The principle of natural justice,The procedure established by law,Fair application of law,Equality before law,c
Polity,"In India, which one of the following Constitutional Amendments was widely believed to
be enacted to overcome the judicial interpretations of the Fundamental Rights?",1st Amendment,42nd Amendment,44th Amendment,86th Amendment,a
Polity,"Consider the following organizations/bodies in India:
1. The National Commission for Backward Classes
2. The National Human Rights Commission
3. The National Law Commission
4. The National Consumer Disputes Redressal Commission
How many of the above constitutional bodies?",Only one,Only two,Only three,All four,a
Polity,"Consider the following statements:
1. If the election of the President of India is declared void by the Supreme Court of
India, all acts done by him/her in the performance of duties of his/her office of
President before the date of decision become invalid.
2. Election for the post of the President of India can be postponed on the ground that
some Legislative Assemblies have been dissolved and elections are yet to take
place.
3. When a Bill is presented to the President of India, the Constitution prescribes time
limits within which he/she has to declare his/her assent.
How many of the above statements are correct?",Only one,Only two,All three,None,d
Polity,"With reference to Scheduled Areas in India, consider the following statements:
1. Within a State, the notification of an area as Scheduled Area takes place through
an Order of the President.
2. The largest administrative unit forming the Scheduled Area is the District and the
lowest is the cluster of villages in the Block.
3. The Chief Ministers of the concerned States are required to submit annual reports
to the Union Home Ministry on the administration of Scheduled Areas in the States.
How many of the above statements are correct?",Only one,Only two,All three,None,b
Polity,"Q.6. Consider the following statements:
Statement-I: The Supreme Court of India has held in some judgements that the
reservation policies made under Article 16(4) of the Constitution of India would be limited
by Article 335 for maintenance of efficiency of administration.
Statement-II: Article 335 of the Constitution of India defines the term 'efficiency of
administration'.
Which one of the following is correct in respect of the above statements?","Both Statement-I and Statement-II are correct and Statement-II is the correct
explanation for Statement-I","Both Statement-I and Statement-II are correct and Statement-II is not the correct
explanation for Statement-1",Statement-I is correct but Statement-II is incorrect,Statement-I is incorrect but Statement-II is correct,c
Polity,"With reference to Home Guards, consider the following statements :
1. Home Guards are raised under the Home Guards Act and Rules of the Central
Government.
2. The role of the Home Guards is to serve as an auxiliary force to the police in
maintenance of internal security.
3. To prevent infiltration on the international border/coastal areas, the Border Wing
Home Guards Battalions have been raised in some States.
How many of the above statements are correct?",Only one,Only two,All three,None,b
Polity,"The Official Secrets Act, 1923
1. Unauthorized wearing of police or military
uniforms
2. Knowingly misleading of otherwise The Indian Evidence Act, 1872
interfering with a police officer or military
officer when engaged in their du�es
3. Celebratory gunfire which can endanger The Arms (Amendment) Act, 2019
the personal safety of others
How many of the above pairs are correctly matched?",Only one,Only two,All three,None,b
Polity,"Consider the following statements :
1. Statement-I: Israel has established diplomatic relations with some Arab States.
2. Statement-II: The ‘Arab Peace Initiative’ mediated by Saudi Arabia was signed by
Israel and Arab League.
Which one of the following is correct in respect of the above statements?","Both Statement-I and Statement-II are correct and Statement-II is the correct
explanation for Statement-I","Both Statement-I and Statement-II are correct and Statement-II is not the correct
explanation for Statement-I",Statement-I is correct but Statement-II is incorrect,Statement-I is incorrect but Statement-II is correct,c
Polity,"Consider the following pairs with regard to sports awards:
For the most spectacular and outstanding
1. Major Dhyan Chand Khel Ratna Award performance by a sportsperson over period
of last four years
2. Arjuna Award For the life�me achievement by sportsperson
3. Dronacharya Award To honour eminent coaches who have
successfully trained sportspersons or teams
4. Rashtriya Khel Protsahan Puraskar To recognize the contribu�on made by
sportspersons even a�er their re�rement
How many of the above pairs are correctly matched?",One only,Two only,Three only,All Four,b
Polity,"Consider the following statements about G-20 :
1. The G-20 group was originally established as a platform for the Finance Ministers
and Central Bank Governors to discuss international economic and financial
issues.
2. Digital public infrastructure is one of India's G-20 priorities.
Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,c
Polity,"Consider the following statements in respect of the National Flag of India According
to the Flag Code of India, 2002 :
1. Statement-I : One of the standard sizes the National Flag of India of 600 mm × 400
mm.
2. Statement-II : The ratio of the length to the height (width) of the Flag shall be 3:2.
Which one of the following is correct in respect of the above statements?","Both Statement-I and Statement-II are correct and Statement-II is the correct
explanation for Statement-I","Both Statement-I and Statement-II are correct and Statement-II is not the correct
explanation for Statement-I",Statement-I is correct but Statement-II is incorrect,Statement-I is incorrect but Statement-II is correct,d
Polity,"Consider the following statements in respect of the Constitution Day :
1. Statement-I : The Constitution Day is celebrated on 26th November every year to
promote constitutional values among citizens.
2. Statement-II : On 26th November, 1949, the Constituent Assembly of India set up a
Drafting Committee under the Chairmanship of Dr. B.R. Ambedkar to prepare a
Draft Constitution of India.
Which one of the following is correct in respect of the above statements?","Both Statement-I and Statement-II are correct and Statement-II is the correct
explanation for Statement-I","Both Statement-I and Statement-II are correct and Statement-II is not the correct
explanation for Statement-I",Statement-I is correct but Statement-II is incorrect,Statement-I is incorrect but Statement-II is correct,c
Polity,"Consider the following statements :
1. Statements-I : Recently, the United States of America (US","and the European
Union (EU) have launched the ‘Trade and Technology Council’.
2. Statement-II : The USA and the EU claim that through this they are trying to bring
technological progress and physical productivity under their control.
Which one of the following is correct in respect of the above statements?","Both Statement-I and Statement-II are correct and Statement-II is the correct
explanation for Statement-I","Both Statement-I and Statement-II are correct and Statement-II is not the correct
explanation for Statement-I",Statement-I is correct but Statement-II is incorrect,c
Polity,"Consider the following statements :
1. Recently, all the countries of the United Nations have adopted the first-ever
compact for international migration, the ‘Global Compact for Safe, Orderly and
Regular Migration (GCM)’.
2. The objectives and commitments stated in the GCM are binding on the UN
member countries.
3. The GCM addresses internal migration or internally displaced people also in its
objectives and commitments.
How many of the above statements are",Only one,Only two,All three,None,d
Polity,"Consider the following statements in relation to Janani Suraksha Yojana :
1. It is a safe motherhood intervention of the State Health Departments.
2. Its objective is to reduce maternal and neonatal mortality among poor pregnant
women.
3. It aims to promote institutional delivery among poor pregnant women.
4. Its objective includes providing public health facilities to sick infants up to one year
of age.
How many of the statements given above are correct?",Only one,Only two,Only three,All four,b
